2016-08-02 08:25:33 status half-installed hostname:amd64 3.15ubuntu1
2016-08-02 08:25:33 status unpacked hostname:amd64 3.15ubuntu1
2016-08-02 08:25:33 status unpacked hostname:amd64 3.15ubuntu1
2016-08-02 08:25:33 install ifupdown:amd64 <none> 0.7.47.2ubuntu4
2016-08-02 08:25:33 status half-installed ifupdown:amd64 0.7.47.2ubuntu4
2016-08-02 08:25:33 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2016-08-02 08:25:33 status unpacked ifupdown:amd64 0.7.47.2ubuntu4
2016-08-02 08:25:33 install initramfs-tools:all <none> 0.103ubuntu4
2016-08-02 08:25:33 status half-installed initramfs-tools:all 0.103ubuntu4
2016-08-02 08:25:33 status unpacked initramfs-tools:all 0.103ubuntu4
2016-08-02 08:25:33 status unpacked initramfs-tools:all 0.103ubuntu4
2016-08-02 08:25:33 install initramfs-tools-bin:amd64 <none> 0.103ubuntu4
2016-08-02 08:25:33 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4
2016-08-02 08:25:33 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2016-08-02 08:25:33 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4
2016-08-02 08:25:33 install initscripts:amd64 <none> 2.88dsf-41ubuntu6
2016-08-02 08:25:33 status half-installed initscripts:amd64 2.88dsf-41ubuntu6
2016-08-02 08:25:33 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2016-08-02 08:25:33 status unpacked initscripts:amd64 2.88dsf-41ubuntu6
2016-08-02 08:25:33 install insserv:amd64 <none> 1.14.0-5ubuntu2
2016-08-02 08:25:33 status half-installed insserv:amd64 1.14.0-5ubuntu2
2016-08-02 08:25:33 status unpacked insserv:amd64 1.14.0-5ubuntu2
2016-08-02 08:25:33 status unpacked insserv:amd64 1.14.0-5ubuntu2
2016-08-02 08:25:33 install iproute2:amd64 <none> 3.12.0-2
2016-08-02 08:25:33 status half-installed iproute2:amd64 3.12.0-2
2016-08-02 08:25:33 status unpacked iproute2:amd64 3.12.0-2
2016-08-02 08:25:33 status unpacked iproute2:amd64 3.12.0-2
2016-08-02 08:25:33 install klibc-utils:amd64 <none> 2.0.3-0ubuntu1
2016-08-02 08:25:33 status half-installed klibc-utils:amd64 2.0.3-0ubuntu1
2016-08-02 08:25:33 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2016-08-02 08:25:33 status unpacked klibc-utils:amd64 2.0.3-0ubuntu1
2016-08-02 08:25:33 install kmod:amd64 <none> 15-0ubuntu6
2016-08-02 08:25:33 status half-installed kmod:amd64 15-0ubuntu6
2016-08-02 08:25:33 status unpacked kmod:amd64 15-0ubuntu6
2016-08-02 08:25:33 status unpacked kmod:amd64 15-0ubuntu6
2016-08-02 08:25:33 install libacl1:amd64 <none> 2.2.52-1
2016-08-02 08:25:33 status half-installed libacl1:amd64 2.2.52-1
2016-08-02 08:25:33 status unpacked libacl1:amd64 2.2.52-1
2016-08-02 08:25:33 status unpacked libacl1:amd64 2.2.52-1
2016-08-02 08:25:33 install libattr1:amd64 <none> 1:2.4.47-1ubuntu1
